Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
6,Cooling,5,1to2,0.612203647,0.57418993,0.482751558,0.505376426,0.498985472,0.509116458,0.481819944,0.573668831
6,Cooling,4,1to2,0.551744677,0.477288002,0.388949295,0.417608682,0.422846587,0.42921121,0.391684753,0.479016992
6,Cooling,3,1to2,0.451173675,0.348384941,0.289937648,0.30803206,0.32662539,0.311846137,0.278692418,0.34869104
6,Cooling,2,1to2,0.293244524,0.192060743,0.156803087,0.175140262,0.199586694,0.173199679,0.157052841,0.192306756
6,Cooling,1,1to2,0.117978145,0.057840136,0.05261198,0.061522997,0.080122933,0.059516381,0.048484845,0.061551243
6,Cooling,40,2to2,0.961573476,0.965055064,0.964302533,0.957604915,0.9508239,0.958516815,0.963621309,0.965157
6,Cooling,25,2to2,0.950515383,0.956021761,0.953084778,0.945149603,0.937930584,0.948542543,0.952632724,0.95571915
6,Cooling,19,2to2,0.939678936,0.94678506,0.942694942,0.935136884,0.92427426,0.938292418,0.942148886,0.946068546
6,Cooling,13,2to2,0.917379716,0.926923606,0.922598725,0.913884365,0.897862904,0.91489551,0.921477119,0.926482108
6,Cooling,9,2to2,0.885060209,0.897597954,0.88475419,0.877243363,0.861352172,0.87963814,0.887658999,0.897929858
6,Cooling,7,2to2,0.85425554,0.870231622,0.853656199,0.844947262,0.826560382,0.848597483,0.855397948,0.870383226
6,Cooling,6,2to2,0.833279497,0.851198068,0.830576007,0.82349309,0.801954984,0.824382445,0.829447016,0.851378252
6,Cooling,5,2to2,0.805375865,0.82374431,0.786449839,0.787711485,0.767749633,0.788505416,0.794127365,0.824355397
6,Cooling,4,2to2,0.76761136,0.784540868,0.74189927,0.733885581,0.718846734,0.744796984,0.745703199,0.783476847
6,Cooling,3,2to2,0.712451594,0.720472232,0.655397722,0.671530052,0.646445151,0.673920614,0.667103642,0.719444979
6,Cooling,2,2to2,0.627348509,0.60086836,0.532246516,0.543310671,0.533378988,0.549874271,0.529165355,0.601614092
6,Cooling,1,2to2,0.453790478,0.391629605,0.330603133,0.354219592,0.360383848,0.357066467,0.339871818,0.390242721
6,Cooling,40,1to1,0.96052052,0.963015745,0.960871703,0.952291583,0.944727335,0.953380866,0.960702914,0.962861628
6,Cooling,25,1to1,0.950779191,0.954700936,0.950528958,0.940540879,0.932879259,0.944119658,0.95025694,0.954206417
6,Cooling,19,1to1,0.941073151,0.946295003,0.940644044,0.930713872,0.919679359,0.934152256,0.940358065,0.945420956
6,Cooling,13,1to1,0.921578347,0.928702839,0.921972622,0.91059711,0.89512397,0.911988646,0.921193332,0.928121341
6,Cooling,9,1to1,0.893758883,0.902649263,0.886252688,0.876384422,0.862363964,0.879287722,0.88947731,0.902858934
6,Cooling,7,1to1,0.867098279,0.877826462,0.857673933,0.847092472,0.83190148,0.851404489,0.859522433,0.877829516
6,Cooling,6,1to1,0.848326516,0.86006875,0.83622509,0.827817432,0.810248466,0.829385571,0.834922206,0.860058653
6,Cooling,5,1to1,0.821976454,0.833554442,0.793626703,0.794533145,0.779264293,0.795885895,0.801122057,0.833944762
6,Cooling,4,1to1,0.784060228,0.794413283,0.75004501,0.742399333,0.732377787,0.753784063,0.753507855,0.793175958
